id,str,speed,size,size
1,24,1.341850384,A,225
2,58.33333333,1.492276624,A,220
3,30.76923077,1.566130881,C,240
4,9.302325581,1.303880431,C,240
5,30,1.19116963,C,240
6,16.66666667,1.616427366,A,225
7,2.127659574,1.950728705,B,230
8,5,1.308224103,B,235
9,85,4.090110776,B,230
10,0,2.444329259,B,230
11,64.51612903,1.491644012,B,230
12,0,1.417660321,C,255
